name,email,dorm
Gabriel Masutier,masutier@gmail.com,Room 01
Rhonda Ferranti,jacky@test.com,Room 02
Luz Marina,lucecita@test.com,Room 03
Maria Angelica,mariaca@test.com,Room 03
Gabriel Masutier,gabrielmasutier@gmail.com,Room 01
Patricia Mendoza,patys@test.com,Room 03
Orlando Sepeda,orlan@test.com,Room 01
Richard Smith,smith@test.com,Room 01
Gabriel Masutier,masutier@gmail.com,Room 01
Rhonda Ferranti,jacky@test.com,Room 02
Maria Angelica,mariaca@test.com,Room 03
Roberto Gutierrez,roberto@test.com,Room 03
Roberto Gutierrez,robert@test.com,Room 03
Pepito Perez,perez@test.com,Room 02
Eusevio Guerrero,Eusev@test.com,Room 01
Gabriel,gabrielmasutier@gmail.com,Room 01
Orlando Miami,orlando@test.com,Room 02
Gabriel Masutier,gabrielmasutier@gmail.com,Room 01
Maria Angelica Cardenas,mariaca@test.com,Room 03
Rossy Rivera,rossy@test.com,Room 01
